옛 집,서울/경기권,경기도 여주군 여주읍 상리 216-5,031-884-0432,식당,보리밥 해물칼국수 해물파전 동동주,,
한아름 쌀밥집,서울/경기권,경기도 여주군 여주읍 홍문리 275-6,031-885-7117,식당,쌀밥정식 설렁탕,,
어우렁 더우렁,서울/경기권,경기도 여주군 여주읍 점봉리 52,031-883-3033,식당,우렁쌉밥정식 우렁무침 우렁쟁반국수,127648933,37259162
예터 문화 공간,서울/경기권,경기도 여주군 점동면 당진리 7,011-217-1572,관광지,폰박물관 폰미술관,127691729,37164798
여주참나무숯가마,서울/경기권,,031-883-1268,식당,숯가마찜질 경락맛사지,0,0
대장금,서울/경기권,경기도 여주군 여주읍 천송리 299-5,031-885-9065,식당,옻삼계탕 오리백숙,127658720,37301209
아우라지정식,강원권,,033-733-6611,식당,한정식 아우라지정식,0,0
록산전주밥상,강원권,강원도 원주시 문막읍 건등리 338-1,033-735-3534,식당,한정식 불고기 정식 궁중오리찜 오리불고기,127828377,37319076
옛골가든,강원권,강원도 원주시 문막읍 포진리 638,033-732-4326,식당,오리전골 토종닭전골/백숙,0,0
갈비둥지,강원권,강원도 원주시 태장동 1383-9,033-747-4500,식당,참숯왕갈비,127950143,37383439
만복추어탕,강원권,강원도 원주시 학성동 223-5,033-742-9490,식당,추어탕,127945501,37353611
명가네칼국수,강원권,강원도 원주시 태장동 1375-8,033-734-8252,식당,버섯생불고기 샤브샤브,127952096,37384350
빌라메디치레스토랑,강원권,강원도 원주시 단계동 1119-2,033-744-1400,식당,안심/등심스테이크,127926645,37347419
안흥찐빵,강원권,강원도 횡성군 우천면 우항리 412,033-342-3338,식당,,128075792,37449377
네덜단드꿩만두,강원권,강원도 횡성군 우천면 우항리 308,033-342-7888,식당,버섯생불고기,128074246,37451387
횡성한우명가,강원권,강원도 횡성군 우천면 우항리 744-4,033-345-9522,식당,명품횡성한우,128078061,37446807
새말횡성한우타운,강원권,강원도 횡성군 우천면 우항리 459-2,033-343-0500,식당,명품횡성한우,128078105,37445572
한우프라자,강원권,강원도 횡성군 우천면 우항리 583-5,본점 033-345-6160 새말휴게소점 033-342-7888,식당,명품횡성한우,128063742,37459935
한우명가,강원권,강원도 횡성군 둔내면 자포곡리 358,033-342-7701,식당,명품한우등심,128223155,37511410
청해해물탕,강원권,강원도 동해시 천곡동 916,033-535-7155,식당,해물탕/찜,129117096,37519710
수중횟집,강원권,강원도 동해시 천곡동 957-6,033-535-3815,식당,모듬회/물회,129121608,37518838
동해사슴관광농원,강원권,강원도 동해시 지흥동 48,033-521-3777,식당,흑염소전골/녹용,129102587,37502321
동송파크호텔,강원권,강원도 동해시 천곡동 923,033-535-0056,숙박,숙박,129118058,37518998
해목펜션,강원권,강원도 동해시 어달동 128-1,033-531-5851,숙박,숙박,129117983,37567015
중앙가든,강원권,강원도 강릉시 옥계면 현내리 323-3,033-534-8803,식당,삼겹삽/영양돌솥밥,129039307,37613011
혜진네횟집,강원권,강원도 양양군 현남면 남애리 2-2,033-671-6995,식당,자연산활어/물회/가자미 세꼬시,128786102,37944544
동해해물촌,강원권,강원도 강릉시 주문진읍 향호리 30-35,033-661-5818,식당,해물탕/해물찜,128820582,37906151
청정건어물 직매장,강원권,,033-662-5915,판매장,건어물 및 수산물 판매,0,0
신라횟집,강원권,,033-532-2065,식당,자연산활어/모듬회/초밥,0,0
충북횟집,강원권,강원도 강릉시 주문진읍 주문리 312,033-535-6661,식당,자연산활어/모듬회/초밥,128827872,37893063
묵호항 건어물,강원권,강원도 동해시 묵호진동 15-87,033-535-6661,식당,건어물,129114947,37552420
신리종합수산센타,강원권,강원도 강릉시 주문진읍 교향리 81-5,033-662-2233,식당,자연산회/모듬회,0,0
경포워터드림랜드,강원권,강원도 강릉시 강문동 23-9,033-653-2244,관광지,드림랜드,128919791,37791279
금강산채식당,강원권,강원도 강릉시 연곡면 삼산리 50,033-661-4356,식당,산채정식/비빔밥,128706364,37814277
명진건어물,강원권,강원도 강릉시 주문진읍 교항리 184,033-662-4736,판매장,각종건어물/젓갈/미역/김,128826814,37889925
고려정,강원권,강원도 강릉시 초당동 84,033-651-2600,식당,한정식,128916290,37786323
향 기,강원권,강원도 강릉시 견소동 268-31,033-652-1700,식당,일식(횟집),128944235,37774246
위촌리전통한우촌,강원권,강원도 강릉시 성산면 위촌리 333,033-643-6928,식당,한우집,128847567,37754284
청해횟집,강원권,강원도 강릉시 강동면 정동진리 137,033-644-5219,식당,활어회,0,0
루싱,강원권,강원도 강릉시 노암동 592-1,033-643-4256,식당,중화요리,128896727,37742973
초당순두부,강원권,강원도 강릉시 운정동 141,033-641-3793,식당,두부전문점,0,0
강변가든,강원권,강원도 원주시 호저면 주산리 749-14,033-732-6720,식당,옻닭,127922453,37428236
삼수갑산,강원권,강원도 원주시 호저면 주산리 236-5,033-731-4261,식당,호박오리구이,127936780,37401527
강원LPC홍보관,강원권,,033-733-2300,판매장,돈육/우육,0,0
금강산,강원권,,033-343-3377,식당,한우모듬 등심,0,0
원흥정육점식당,강원권,,033-343-4479,식당,한우모듬 삼겹살,0,0
횡재한우단지,강원권,,033-345-4625,식당,한우모듬 삼겹살,0,0
함밭식당,강원권,,033-343-2549,식당,한우모듬 불고기,0,0
횡성한우곰탕,강원권,강원도 횡성군 횡성읍 읍하리 509-3,033-343-4545,식당,곰탕 버섯불고기,127986767,37495374
왔다해장국,강원권,강원도 홍천군 북방면 하화계리 325-38,033-435-0451,식당,홍천 다슬기 해장국,127865063,37692613
장원막국수,강원권,강원도 홍천군 홍천읍 상오안리 241,033-435-5855,식당,막국수 편육 감자부침이,127811799,37645226
명가닭갈비,강원권,강원도 홍천군 홍천읍 희망리 328-6,033-432-9115,식당,닭갈비,127881533,37689495
용가네 참(眞)한우,강원권,강원도 홍천군 홍천읍 하오안리 산572,033-434-1414,식당,한우 까망돼지/화로구이,0,0
의암댐매운탕,강원권,강원도 춘천시 신동면 의암리 311-1,033-262-5495,식당,붕어찜/쏘가리찜 회,127677351,37837397
의암댐닭갈비,강원권,강원도 춘천시 신동면 의암리 311-1,033-262-6191,식당,닭갈비 막국수,127677351,37837397
대룡산막국수,강원권,강원도 춘천시 동내면 신촌리 319,033-261-3618,식당,메밀싹(쟁반) 막국수 / 편육 전병 빈대떡,0,0
비원쏘가리,충청권,충청북도 단양군 단양읍 상진리 1013,043-421-4000,식당,쏘가리회 쏘가리매운탕,128362362,36975918
마늘인삼갈비탕,충청권,충청북도 단양군 단양읍 현천리 217-1,043-423-7575,식당,마늘인삼갈비탕 새싹한우육회비빔밥 한우인삼불고기,128330310,36942903
아뜨리에,충청권,충청북도 단양군 단성면 가산리 783,043-422-9535,식당,야외돌판구이(삼겹살/오리로스) 한방백숙 한치회,128293052,36873710
단양대명콘도,충청권,,043-420-8305,숙박,숙박,0,0
청호식당,충청권,충청북도 단양군 매포읍 하괴리 84,043-421-0091,식당,쏘가리 민물고기 산채정식,0,0
장다리식당,충청권,충청북도 단양군 단양읍 별곡리 28-1,043-423-3960,식당,마늘밥 마늘정식 마늘비빔육회,128368167,36989580
락송정,충청권,충청북도 단양군 단양읍 상진리 703,043-421-8592,식당,돼지갈비 왕소금구이,128354379,36978907
청정한우,충청권,충청북도 제천시 금성면 구룡리 466-44,043-648-9485,식당,로스구이 갈비탕,128166975,37064433
구룡산마루,충청권,충청북도 제천시 금성면 구룡리 217-5,043-645-9119,식당,더덕구이 영양돌솥밥,128173806,37071452
청주본가,충청권,충청북도 제천시 청전동  447-4,043-646-4877,식당,왕갈비탕,128205035,37146197
본가장수촌,충청권,충청북도 제천시 천남동285-1,043-644-4567,식당,누룽지백숙,0,0
옛길,강원권,강원도 원주시 신림면 신림리 164-5,033-762-1077,식당,청국장 황태더덕구이정식,128089376,37238805
주천한우마을,강원권,강원도 영월군 주천면 주천리 1142-2,033-373-3359,식당,등심/안심 사골/국거리,128267271,37269734
대교가든,강원권,강원도 원주시 신림면 송계리 345-2,033-765-2333,식당,민물매운탕/ 닭백숙 닭도리탕/ 영양탕,128194354,37296513
목원가든,충청권,충청북도 제천시 봉양읍 학산리 433-1,043-651-6646,식당,오리구이/탕 오골계/닭백숙 영양숯불구이/전골/수육,128095923,37193356
왕가오리진흙구이,강원권,강원도 원주시 무실동  830-16,033-763-5280,식당,유황오리진흙구이/훈제구이 오리훈제전골,127925155,37313617
W 호텔,강원권,강원도 원주시 단계동  1119-2,033-742-5454,숙박,숙박,127926645,37347419
